event_id,event_category,event_type_raw,began,restored,year,n_counties_affected,n_states_affected,mean_duration_hours,total_customers_affected,max_customers_single_county
Utah-1,Physical/Security,Suspected Physical Attack,2017-10-19 16:01:00,2017-10-19 16:02:00,2017,18,1,2.3955696202531644,27785.0,9882.0
Utah-2,Physical/Security,Vandalism,2018-08-19 15:20:00,2018-08-19 15:21:00,2018,13,1,2.163793103448276,14296.0,2912.0
Utah-3,Equipment/Operational,Transmission Interruption,2018-04-09 12:16:00,2018-04-09 13:52:00,2018,10,1,2.347826086956522,24594.0,15378.0
Utah-4,Physical/Security,Vandalism,2018-10-22 10:25:00,2018-10-22 10:31:00,2018,9,1,1.7352941176470589,6518.0,1655.0
Utah-5,Physical/Security,Vandalism,2018-12-18 08:47:00,2018-12-18 08:48:00,2018,8,1,0.8,7493.0,2243.0
Utah-6,Physical/Security,Actual Physical Attack,2018-05-08 16:00:00,2018-05-08 16:01:00,2018,10,1,1.6071428571428572,9306.0,3024.0
Utah-7,Physical/Security,Actual Physical Attack,2018-12-07 03:10:00,2018-12-07 04:35:00,2018,3,1,2.125,8163.0,7353.0
Utah-8,Physical/Security,Vandalism,2019-04-21 10:40:00,2019-04-21 10:45:00,2019,8,1,1.75,9760.0,4176.0
Utah-9,Physical/Security,Vandalism,2019-07-10 12:00:00,2019-07-10 12:15:00,2019,4,1,3.480769230769231,5460.0,2233.0
Vermont-0,Weather,Severe Weather - Winter Storm,2014-11-02 13:46:00,2014-11-02 13:46:00,2014,14,1,3.109375,26756.0,4746.0
Vermont-1,Weather,Severe Weather - Winter Storm,2014-11-26 17:50:00,2014-11-28 07:00:00,2014,13,1,6.484375,50303.0,9032.0
Vermont-10,Weather,Severe Weather,2020-12-05 16:40:00,2020-12-05 16:40:00,2020,4,1,2.7083333333333335,1787.0,636.0
Vermont-11,Weather,Severe Weather,2020-12-25 07:55:00,2020-12-25 16:45:00,2020,11,1,1.125,5389.0,1061.0
Vermont-2,Cyber,Suspected Cyber Attack,2014-12-30 15:50:00,2014-12-31 11:00:00,2014,14,1,3.781202435312024,113742.0,21446.0
Vermont-3,Weather,Severe Weather,2016-07-23 19:30:00,2016-07-24 07:30:00,2016,12,1,6.536585365853658,37235.0,8784.0
Vermont-4,Weather,Severe Weather,2016-09-11 12:05:00,2016-09-11 15:10:00,2016,14,1,3.8969072164948453,39272.0,16122.0
Vermont-5,Weather,Severe Weather,2018-10-16 04:15:00,2018-10-16 17:11:00,2018,13,1,8.487179487179487,58974.0,16009.0
Vermont-6,Weather,Severe Weather,2018-11-03 17:20:00,2018-11-04 14:30:00,2018,14,1,10.882352941176471,83987.0,18073.0
Vermont-7,Weather,Severe Weather,2018-11-27 08:00:00,2018-11-28 16:50:00,2018,13,1,9.780821917808218,38772.0,5491.0
Vermont-8,Weather,Severe Weather,2020-11-15 23:05:00,2020-11-16 05:00:00,2020,3,1,0.9583333333333334,1695.0,1219.0
Vermont-9,Weather,Severe Weather,2020-11-30 16:24:00,2020-12-01 14:25:00,2020,7,1,1.6041666666666667,3969.0,1944.0
Virginia-0,Weather,Severe Weather - Winter,2015-01-07 17:00:00,2015-01-08 08:35:00,2015,120,1,6.061119573495811,503316.0,33108.0
Virginia-1,Weather,Severe Weather - Winter,2015-02-16 21:00:00,2015-02-18 14:00:00,2015,119,1,2.538734003656307,387543.0,24975.0
Virginia-2,Weather,Severe Weather - Winter,2015-02-18 15:00:00,2015-02-20 09:00:00,2015,115,1,4.7086442786069655,586196.0,44808.0
Virginia-3,Weather,Severe Weather,2015-07-13 19:40:00,2015-07-15 12:15:00,2015,115,1,4.821342200725514,562874.0,74967.0
Virginia-4,Weather,Severe Weather,2018-11-15 10:50:00,2018-11-17 13:12:00,2018,104,1,5.455734406438632,353986.0,53115.0
Virginia-5,Physical/Security,Suspicious Activity,2018-08-14 21:00:00,2018-08-14 21:01:00,2018,59,1,2.7096774193548385,97477.0,29920.0
Virginia-6,Physical/Security,Vandalism,2018-12-09 23:28:00,2018-12-10 01:30:00,2018,56,1,2.1209016393442623,71214.0,21038.0
Virginia-7,Equipment/Operational,System Operations,2018-08-24 12:24:00,2018-08-24 12:59:00,2018,21,1,2.760869565217391,17489.0,2384.0
Washington-0,Weather,Severe Weather - Wind,2014-11-11 18:00:00,2014-11-14 15:00:00,2014,25,1,7.389627659574468,484345.0,129685.0
Washington-1,Physical/Security,Suspected Physical Attack,2014-12-17 11:00:00,2014-12-17 12:15:00,2014,27,1,5.5234375,304912.0,84976.0
Washington-10,Weather,Severe Weather,2015-08-29 13:00:00,2015-08-31 07:00:00,2015,27,1,11.584108527131782,611412.0,129685.0
Washington-11,Weather,Severe Weather,2015-11-17 09:00:00,2015-11-17 09:00:00,2015,29,1,5.383408071748879,589844.0,251333.0
Washington-12,Other/Unknown,Islanding,2016-08-24 19:18:00,2016-08-24 19:47:00,2016,31,1,8.07245337159254,462858.0,166046.0
Washington-13,Cyber,Cyber Attack,2016-04-12 11:30:00,2016-04-12 16:43:00,2016,30,1,5.453181272509004,208988.0,34210.0
Washington-14,Equipment/Operational,System Operations,2020-12-10 16:30:00,2020-12-12 05:00:00,2020,25,1,6.831632653061225,172363.0,39506.0
Washington-15,Physical/Security,Vandalism,2020-07-21 11:53:00,2020-07-21 13:00:00,2020,18,1,2.626470588235294,75440.0,21997.0
Washington-16,Physical/Security,Vandalism,2020-12-22 02:20:00,2020-12-22 02:21:00,2020,21,1,3.982142857142857,54767.0,13402.0
Washington-17,Physical/Security,Vandalism,2020-08-15 17:00:00,2020-08-15 17:00:00,2020,18,1,2.7827868852459017,37299.0,7633.0
Washington-18,Equipment/Operational,System Operations,2020-11-13 00:20:00,2020-11-13 08:00:00,2020,25,1,4.420212765957447,99511.0,48356.0
Washington-19,Physical/Security,Suspicious Activity,2020-07-09 15:09:00,2020-07-09 15:09:00,2020,25,1,5.786842105263158,150132.0,31966.0
Washington-2,Weather,Severe Weather,2015-06-29 19:21:00,2015-06-29 19:42:00,2015,28,1,3.5895953757225434,147096.0,31966.0
Washington-20,Physical/Security,Vandalism,2020-10-15 23:43:00,2020-10-15 23:43:00,2020,20,1,2.763157894736842,48524.0,26845.0
Washington-21,Physical/Security,Actual Physical Attack,2022-07-05 08:00:00,2022-07-05 08:06:00,2022,11,1,2.3333333333333335,13069.0,3839.0
Washington-22,Physical/Security,Actual Physical Attack/Vandalism,2022-11-23 10:15:00,2022-11-23 14:09:00,2022,12,1,1.7727272727272727,18042.0,7262.0
Washington-23,Physical/Security,Vandalism,2022-12-25 02:42:00,2022-12-25 04:55:00,2022,19,1,6.027027027027027,87050.0,31667.0
Washington-24,Physical/Security,Vandalism,2022-12-25 19:25:00,2022-12-25 20:07:00,2022,21,1,4.942708333333333,82638.0,31667.0
Washington-25,Physical/Security,Vandalism,2022-12-13 23:59:00,2022-12-14 03:39:00,2022,9,1,3.328125,11204.0,3207.0
Washington-26,Equipment/Operational,System Operations,2022-01-01 12:36:00,2022-01-01 14:12:00,2022,21,1,4.964876033057851,43268.0,8196.0
Washington-27,Physical/Security,Vandalism,2022-01-03 12:45:00,2022-01-03 12:46:00,2022,17,1,4.065789473684211,27128.0,8196.0
