,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
26,-1.1228152255932504,-1.116651162745699,-1.1305517189143464,-1.136982208804156,-1.1333381508392704,-1.1279946843299598,-1.1251183767660244,-1.1346192957457395,-1.1369822088041555,-1.1369822088041557,-1.1332088465223737,-1.1346083222559262,-1.1363087484255672,-1.1350752031534757,-1.136918170554979,-1.1371555165290594,-1.1363087484255667,-1.1350752031534754,-1.1370380157299025,-1.1366527532112227
27,-1.1308203395479755,-1.116651162745699,-1.1161732846536578,-1.1349079218644864,-1.1333381508392704,-1.1244611935900979,-1.1354017970874424,-1.1350752031534759,-1.1350752031534754,-1.1351110886305313,-1.1351110886305316,-1.1251183767660244,-1.1349612084908032,-1.137213390396591,-1.1365587099295422,-1.1346083222559262,-1.1364862690311466,-1.1369822088041557,-1.1370380157299025,-1.1333381508392704
28,-1.1331152717806328,-1.116651162745699,-1.1305517189143464,-1.136982208804156,-1.1333381508392704,-1.1263201371879286,-1.1251183767660244,-1.1369822088041555,-1.1370380157299025,-1.1372625492981558,-1.1340485730872787,-1.1346192957457395,-1.1350752031534754,-1.1349612084908032,-1.1370090984810064,-1.1350752031534754,-1.1370380157299025,-1.1350752031534759,-1.1370380157299025,-1.136514136276362
29,-1.1228152255932504,-1.1308203395479752,-1.124460723234308,-1.1349079218644864,-1.1333381508392704,-1.1263201371879286,-1.1333381508392704,-1.1350752031534754,-1.1363087484255667,-1.1369822088041557,-1.1332088465223737,-1.1350752031534759,-1.1370380157299025,-1.1357549697344524,-1.1369525998611123,-1.1372334511830848,-1.1372625492981558,-1.1350460173974661,-1.1350752031534754,-1.1350752031534759
30,-1.1308203395479755,-1.136982208804156,-1.1161732846536578,-1.136982208804156,-1.1333381508392704,-1.1244611935900979,-1.1333381508392704,-1.1350752031534759,-1.1370380157299025,-1.1365029378758582,-1.136982208804156,-1.1349612084908032,-1.1365141362763618,-1.137146161384392,-1.136918170554979,-1.1367150191016986,-1.136865172386219,-1.1329675472688612,-1.136952248519961,-1.135045317360719
31,-1.1308203395479755,-1.116651162745699,-1.1305517189143464,-1.136982208804156,-1.1333381508392704,-1.1244611935900979,-1.1370380157299025,-1.1350752031534759,-1.1370380157299025,-1.1370380157299025,-1.1332088465223737,-1.1350752031534759,-1.1366527532112227,-1.1369529485567078,-1.137185484753618,-1.1365141362763618,-1.1368366091318989,-1.1361971694515853,-1.136982208804156,-1.136308748425567
32,-1.1308203395479755,-1.136982208804156,-1.1305517189143464,-1.1349079218644864,-1.1333381508392704,-1.1263200259514017,-1.1333381508392704,-1.1345971238554224,-1.1350752031534754,-1.136575430107151,-1.1295164237239232,-1.1363087484255672,-1.136952948556708,-1.1350752031534757,-1.1369223512525812,-1.135390728857145,-1.1350460173974661,-1.1369822088041555,-1.1370380157299025,-1.1370090984810064
33,-1.1228152255932504,-1.1308203395479752,-1.1305517189143464,-1.136982208804156,-1.1333381508392704,-1.1263197836232788,-1.1251183767660244,-1.136952948556708,-1.1369822088041555,-1.1350887904129883,-1.1332088465223737,-1.1251183767660244,-1.1369223512525812,-1.137185484753618,-1.1372332781000503,-1.1350460173974661,-1.1350752031534754,-1.1369822088041557,-1.1370380157299025,-1.1369529485567083
34,-1.1228152255932504,-1.116651162745699,-1.1305517189143464,-1.136982208804156,-1.1333381508392704,-1.1244611935900979,-1.1333381508392704,-1.1369529485567083,-1.1369822088041555,-1.1370090984810064,-1.1332088465223737,-1.1350752031534759,-1.1364708360848121,-1.1350460173974661,-1.1369223512525812,-1.134614596572249,-1.1372334511830848,-1.1372625492981558,-1.1369822088041557,-1.1370090984810064
35,-1.1308203395479755,-1.136982208804156,-1.1305517189143464,-1.136982208804156,-1.1333381508392704,-1.1244611935900979,-1.1332527130536172,-1.1350467033745493,-1.1369529485567078,-1.1370084046069295,-1.1294374434485177,-1.1251183767660244,-1.1350752031534757,-1.1349612084908032,-1.1369223512525812,-1.1350460173974661,-1.1370090984810064,-1.1369525998611127,-1.134907921864486,-1.1346083222559262
